Entity,Code,Day,new_vaccinations_smoothed_per_million
Kuwait,KWT,2021-01-30,0.10490000000000001
Kuwait,KWT,2021-01-31,0.1246
Kuwait,KWT,2021-02-01,0.1442
Kuwait,KWT,2021-02-02,0.16390000000000002
Kuwait,KWT,2021-02-03,0.16390000000000002
Kuwait,KWT,2021-02-04,0.16390000000000002
Kuwait,KWT,2021-02-05,0.16390000000000002
Kuwait,KWT,2021-02-06,0.16390000000000002
Kuwait,KWT,2021-02-07,0.16390000000000002
Kuwait,KWT,2021-02-08,0.16390000000000002
Kuwait,KWT,2021-02-09,0.16390000000000002
Kuwait,KWT,2021-02-10,0.16390000000000002
Kuwait,KWT,2021-02-11,0.16390000000000002
Kuwait,KWT,2021-02-12,0.16390000000000002
Kuwait,KWT,2021-02-13,0.16390000000000002
Kuwait,KWT,2021-02-14,0.16390000000000002
Kuwait,KWT,2021-02-15,0.16390000000000002
Kuwait,KWT,2021-02-16,0.17
Kuwait,KWT,2021-02-17,0.17600000000000002
Kuwait,KWT,2021-02-18,0.1821
Kuwait,KWT,2021-02-19,0.18810000000000002
Kuwait,KWT,2021-02-20,0.1942
Kuwait,KWT,2021-02-21,0.20020000000000002
Kuwait,KWT,2021-02-22,0.2063
Kuwait,KWT,2021-02-23,0.2063
Kuwait,KWT,2021-02-24,0.2063
Kuwait,KWT,2021-02-25,0.2063
Kuwait,KWT,2021-02-26,0.2063
Kuwait,KWT,2021-02-27,0.2063
Kuwait,KWT,2021-02-28,0.2063
Kuwait,KWT,2021-03-01,0.2063
Kuwait,KWT,2021-03-02,0.2063
Kuwait,KWT,2021-03-03,0.2063
Kuwait,KWT,2021-03-04,0.2063
Kuwait,KWT,2021-03-05,0.2063
Kuwait,KWT,2021-03-06,0.2063
Kuwait,KWT,2021-03-07,0.2063
Kuwait,KWT,2021-03-08,0.2063
Kuwait,KWT,2021-03-09,0.21930000000000002
Kuwait,KWT,2021-03-10,0.23240000000000002
Kuwait,KWT,2021-03-11,0.24550000000000002
Kuwait,KWT,2021-03-12,0.2585
Kuwait,KWT,2021-03-13,0.2716
Kuwait,KWT,2021-03-14,0.2846
Kuwait,KWT,2021-03-15,0.2977
Kuwait,KWT,2021-03-16,0.2977
Kuwait,KWT,2021-03-17,0.2977
Kuwait,KWT,2021-03-18,0.2977
Kuwait,KWT,2021-03-19,0.2977
Kuwait,KWT,2021-03-20,0.2977
Kuwait,KWT,2021-03-21,0.2977
